,pairAddress,timestamp,token0Address,token1Address,token0Amount,token1Amount,token0Liquidity,token1Liquidity
32,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995698,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103041162.351298,27918.609473117274,0.000270946181468,3690.7698590976006
33,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995763,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103039745.573782,27918.994503946065,0.0002709536436496,3690.668213685789
34,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995775,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103037611.452183,27919.574503946063,0.0002709648846712,3690.5151057234048
35,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995780,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103037311.452183,27919.65603825105,0.0002709664649121,3690.4935831235775
36,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995818,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103036708.802217,27919.81982850795,0.0002709696393942,3690.4503480000913
37,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995885,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103034005.816556,27920.55447872314,0.0002709838781618,3690.256434379664
38,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995891,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103071218.435191,27910.505849842888,0.0002707885506116,3692.9183222156175
39,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995891,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103072152.664914,27910.25211221724,0.0002707836344793,3692.985367903428
40,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995924,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103071300.43433,27910.483712045727,0.0002707881204024,3692.9241892660575
41,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995933,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103070665.177491,27910.656250727407,0.0002707914633389,3692.878599900522
42,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995933,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103074659.680001,27909.577860246583,0.0002707705069984,3693.1644110180864
43,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995944,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103074344.185766,27909.66354409372,0.000270772167066,3693.141768725433
44,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995954,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103066489.175421,27911.797024808417,0.0002708135034783,3692.578055214932
45,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640995958,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103059216.093975,27913.77273962229,0.000270851785969,3692.056142152624
46,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996025,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103059206.613988,27913.775315020237,0.000270851835873,3692.055461897068
47,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996051,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103060210.235145,27913.50430051653,0.0002708465685915,3692.12726304801
48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996117,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103089381.184307,27905.62937388035,0.0002706935384934,3694.2145186232074
49,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996126,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103089361.560275,27905.63470196444,0.0002706936417066,3694.2131100504207
50,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996126,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,103087151.729364,27906.23470196444,0.0002707052647572,3694.054494643351
51,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996140,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102796773.376812,27985.308875968145,0.000272239175965,3673.240621799489
52,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996140,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102829610.757895,27976.398910924847,0.0002720655918536,3675.584233885791
53,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996140,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102791888.876812,27986.63470196444,0.0002722650104766,3672.892077645792
54,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996164,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102925926.513849,27950.297694848257,0.000271557406783,3682.4626212414223
55,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996231,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102926092.504069,27950.25275427444,0.0002715565322094,3682.4744809625545
56,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996315,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102930092.504069,27949.169828783288,0.0002715354581817,3682.7602799875294
57,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996406,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102924334.720908,27950.73806323741,0.0002715658851624,3682.3476535054574
58,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996461,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102944329.720908,27945.32544218387,0.0002714605604596,3683.776377336872
59,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996461,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102939334.720908,27946.677385445008,0.0002714868661354,3683.4194384238367
60,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996471,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102954601.459097,27942.54571202173,0.0002714064773794,3684.510442253757
61,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996483,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102954564.724541,27942.555712021727,0.0002714066713485,3684.50780900642
62,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996560,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102959346.518755,27941.26279039683,0.0002713815086744,3684.8494390218193
63,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996560,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102959920.434129,27941.106572593944,0.0002713784786816,3684.89058107374
64,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996598,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102958396.660843,27941.521342304,0.0002713865235717,3684.781347426563
65,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996639,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102958369.879775,27941.52863219656,0.0002713866649678,3684.779427605753
66,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1640996677,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,102957524.929939,27941.75863219656,0.0002713911261096,3684.7188570050753
