,exchangeId,feesNative,feesUSD,liquidityTotalNative,liquidityTotalUSD,volumeTotalUSD,volumeTotalNative,pairsTradedTotal,tradesTotal,timestamp
17,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2861.366414491325,2859.969635066296,6700407.824169655,13395439.098823896,953323.2116887652,953788.8048304417,1,251,2022-12-13
16,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,939.4432068258224,939.8135459290568,6675661.528318567,13346967.0044517,313271.1819763523,313147.7356086074,1,175,2022-12-14
15,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,583.7803849301332,584.1755304161945,6560578.637603879,13137213.840198074,194725.17680539817,194593.46164337767,1,166,2022-12-15
14,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2462.763386644266,2462.820973326743,6294347.937355106,12602968.213809077,820940.3244422476,820921.1288814221,1,572,2022-12-16
13,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,811.8900652894062,811.8862256989094,6354462.708956928,12716635.183055636,270628.74189963646,270630.0217631354,1,466,2022-12-17
12,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,900.8415602325216,900.6805528994728,6352742.770450993,12689363.603272844,300226.8509664909,300280.5200775072,1,355,2022-12-18
11,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,893.4312728517286,893.2522040944128,6299986.285137833,12609735.632992972,297750.7346981376,297810.42428390955,1,324,2022-12-19
10,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,1017.4106708065528,1017.0288026663436,6435895.743945571,12872714.619736964,339009.60088878125,339136.8902688509,1,302,2022-12-20
9,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,430.3140543191868,430.214117807165,6421211.328265799,12860422.071730977,143404.70593572166,143438.01810639555,1,284,2022-12-21
8,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,973.9277714410492,973.458669510876,6433474.855571883,12872891.616634496,324486.22317029204,324642.5904803497,1,223,2022-12-22
7,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,481.4449812468874,481.2311038902033,6447532.212568689,12888935.205791095,160410.3679634011,160481.66041562913,1,204,2022-12-23
6,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,157.41776862173006,157.2505192027715,6446589.499684969,12887701.031368904,52416.83973425717,52472.589540576686,1,149,2022-12-24
5,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,513.4292475812217,513.2821962248505,6441786.794011889,12876111.27570524,171094.0654082835,171143.0825270739,1,126,2022-12-25
4,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,225.72069243716004,225.65547661571836,6460528.177940683,12925375.112056533,75218.49220523944,75240.23081238668,1,205,2022-12-26
3,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,673.3672939845529,672.4174537036612,6428745.385701372,12833136.975692824,224139.1512345537,224455.7646615176,1,286,2022-12-27
2,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,838.5464187205655,838.2569391875193,6362575.7864858415,12737952.119663564,279418.97972917306,279515.4729068552,1,234,2022-12-28
1,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,361.8425305842537,361.7528400072917,6397183.954820386,12798404.479525443,120584.28000243056,120614.1768614179,1,165,2022-12-29
0,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,490.04684350792695,489.90437498728136,6394661.2567814505,12788694.966416135,163301.4583290938,163348.94783597565,1,189,2022-12-30
