,exchangeId_x,feesNative,feesUSD,liquidityTotalNative,liquidityTotalUSD,volumeTotalUSD,volumeTotalNative,pairsTradedTotal,tradesTotal,timestamp_x,index,type,timestamp_y,open,high,low,close,volume,quoteVolume,trades,exchangeId_y,pairAddress,baseAddress,quoteAddress
10,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,321.355588015912,321.3305668558327,6557732.451525505,13113620.759010475,107110.18895194423,107118.52933863732,1,105,2022-12-11,2022-12-11,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-11,0.0007912272654338,0.000793429826967,0.0007798532409118,1267.523068696892,107118.52933863732,84.44824791021492,105,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
11,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,581.2592044120363,581.2968567356705,6577655.867460426,13172925.07734596,193765.61891189017,193753.06813734543,1,170,2022-12-12,2022-12-12,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-12,0.0007889182993784,0.0008058722233177,0.0007830109875405,1276.0175080311274,193753.06813734543,153.13708797196452,170,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
12,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2861.366414491325,2859.969635066296,6700407.824169655,13395439.098823896,953323.2116887652,953788.8048304416,1,251,2022-12-13,2022-12-13,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-13,0.0007834499023336,0.0008320261367856,0.0007418843218791,1323.5867186317728,953788.8048304416,742.2582875683532,251,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
13,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,939.4432068258224,939.8135459290568,6675661.528318567,13346967.0044517,313271.1819763523,313147.7356086074,1,175,2022-12-14,2022-12-14,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-14,0.000755494637884,0.0007675571324164,0.0007411830550661,1305.5810295054705,313147.7356086074,237.22329212117512,175,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
14,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,583.7803849301332,584.1755304161945,6560578.637603879,13137213.840198074,194725.17680539817,194593.46164337767,1,166,2022-12-15,2022-12-15,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-15,0.0007660333946791,0.0007931945899188,0.0007660333946791,1268.3265326081307,194593.46164337767,151.47650659128533,166,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
15,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2462.763386644266,2462.820973326743,6294347.937355106,12602968.213809077,820940.3244422476,820921.1288814221,1,572,2022-12-16,2022-12-16,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-16,0.0007880319086986,0.0008656202139391,0.0007818669685613,1160.2720000988018,820921.1288814221,676.7234519239328,572,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
16,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,811.8900652894062,811.8862256989094,6354462.708956928,12716635.183055636,270628.74189963646,270630.0217631354,1,466,2022-12-17,2022-12-17,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-17,0.000856620687514,0.0008597169997207,0.0008406547205384,1189.5490212194927,270630.0217631354,229.876329069616,466,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
17,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,900.8415602325216,900.6805528994728,6352742.770450993,12689363.603272844,300226.8509664909,300280.5200775072,1,355,2022-12-18,2022-12-18,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-18,0.000840546384824,0.0008549673982518,0.0008359006239171,1188.7995710943892,300280.5200775072,253.1814527976705,355,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
18,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,893.4312728517286,893.2522040944128,6299986.285137833,12609735.632992972,297750.7346981376,297810.42428390955,1,324,2022-12-19,2022-12-19,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-19,0.0008411719724383,0.0008660588181447,0.0008370516244845,1168.9742454897375,297810.42428390955,253.1190007705068,324,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
19,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,1017.4106708065528,1017.0288026663436,6435895.743945571,12872714.619736964,339009.60088878125,339136.8902688509,1,302,2022-12-20,2022-12-20,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,2022-12-20,0.0008605931895961,0.0008606148870885,0.0007047216349541,1220.4262068431924,339136.8902688509,275.15155932028506,302,0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
